,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty
0,Abbeville,SC,0.629,0.346,10724.0,0.661,0.33,12433.0,805.0,17.0,24788.0,12044.0,12744.0,1.3,68.9,27.6,0.1,0.3,0.0,22.7
1,Acadia,LA,0.773,0.206,27386.0,0.795,0.191,28425.0,3182.0,102.0,62607.0,30433.0,32174.0,2.4,77.5,17.6,0.1,0.1,0.0,21.5
2,Accomack,VA,0.545,0.428,15755.0,0.542,0.447,16938.0,1227.0,19.0,32840.0,16079.0,16761.0,8.8,60.3,28.3,0.3,0.7,0.0,19.8
3,Ada,ID,0.479,0.387,195587.0,0.504,0.465,259389.0,17451.0,181.0,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,11.8
4,Adair,IA,0.653,0.3,3759.0,0.697,0.286,4183.0,222.0,1.0,7192.0,3552.0,3640.0,1.7,96.6,0.3,0.0,0.4,0.0,9.5
5,Adair,KY,0.806,0.161,8231.0,0.83,0.159,8766.0,517.0,22.0,19304.0,9632.0,9672.0,1.8,93.4,3.6,0.1,0.1,0.0,21.5
6,Adair,MO,0.594,0.345,10137.0,0.618,0.358,10337.0,578.0,0.0,25437.0,12013.0,13424.0,2.3,90.5,2.4,0.2,2.3,0.1,26.2
7,Adair,OK,0.735,0.212,6468.0,0.786,0.195,7108.0,855.0,11.0,22136.0,10987.0,11149.0,6.4,40.8,0.3,41.7,0.6,0.2,30.8
8,Adams,CO,0.421,0.494,175125.0,0.404,0.567,234599.0,15538.0,263.0,487850.0,245840.0,242010.0,39.3,51.1,3.0,0.5,3.8,0.1,12.2
9,Adams,IA,0.669,0.271,2082.0,0.708,0.273,2158.0,87.0,1.0,3785.0,1870.0,1915.0,1.2,96.8,0.4,0.1,0.6,0.0,11.2
10,Adams,ID,0.713,0.19,2183.0,0.751,0.229,2586.0,65.0,2.0,3946.0,2021.0,1925.0,3.3,92.7,0.3,1.2,0.0,0.2,13.8
11,Adams,IL,0.716,0.24,31770.0,0.722,0.256,33434.0,2223.0,25.0,66787.0,32698.0,34089.0,1.5,92.0,3.9,0.2,0.8,0.1,13.1
12,Adams,IN,0.739,0.215,13039.0,0.75,0.227,14238.0,704.0,8.0,35018.0,17361.0,17657.0,4.4,93.7,0.9,0.0,0.4,0.0,18.9
