county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Aleutians East Borough,AK,3338,2049,1289,9.7,15.5,4.8,37.4,26.1,1.4,16.7
Aleutians West Census Area,AK,5784,3539,2245,13.5,24.8,5,11.5,37.7,2.6,7.5
Anchorage Municipality,AK,298225,152311,145914,8.9,59.2,5.2,6.8,9.2,2.3,8.1
Bethel Census Area,AK,17957,9435,8522,2.2,10.2,0.7,82,0.9,0,27
Bristol Bay Borough,AK,917,532,385,4.5,50.3,0.4,34.4,1.4,0.3,7.1
Denali Borough,AK,2303,1168,1135,0.7,82.7,0.2,2.2,4.7,0,15.5
Dillingham Census Area,AK,4974,2585,2389,3.1,16.2,0.4,72,1.5,0,16.6
Fairbanks North Star Borough,AK,100031,53967,46064,7.7,71.1,4,6.3,3,0.4,7.7
Haines Borough,AK,2537,1323,1214,2.8,79,0,7.5,3.9,0.2,8.4
Hoonah-Angoon Census Area,AK,2146,1123,1023,5.5,43.6,2.7,37.3,2.7,0.1,11.1
Juneau City and Borough,AK,32434,16663,15771,6.4,65.4,1,10.8,6.7,1,7.4
Kenai Peninsula Borough,AK,57961,30261,27700,4,81,0.5,7.1,1.5,0.3,11
Ketchikan Gateway Borough,AK,13745,7065,6680,4.8,64.4,0.5,13.5,7.8,0,10.6
Kodiak Island Borough,AK,13773,7370,6403,8.9,50.1,0.2,12.7,22.1,0.9,9.3
Kusilvak Census Area,AK,8129,4342,3787,1.6,3.8,0.4,89.6,0.5,0,39.1
Lake and Peninsula Borough,AK,1301,661,640,1.5,21.8,0.7,66.7,2.2,0.2,16.5
Matanuska-Susitna Borough,AK,101135,52767,48368,4.6,79.9,1,5,1.3,0.2,9.8
Nome Census Area,AK,9869,5250,4619,2.4,14.9,0.8,73,1.4,0.3,24.9
North Slope Borough,AK,9757,6097,3660,4.1,31.3,0.5,50.9,5.6,1.6,10.2
Northwest Arctic Borough,AK,7715,4168,3547,2.5,11.1,0.5,81.6,0.9,0,25.3
Petersburg Borough,AK,3275,1724,1551,10.6,67.1,0.6,6.6,6.7,1.1,7.8
Prince of Wales-Hyder Census Area,AK,6473,3509,2964,3.7,45.3,0.2,39.8,1.1,0.6,16
Sitka City and Borough,AK,8810,4520,4290,6.3,62.4,1,13.1,6.7,0.4,9.2
Skagway Municipality,AK,1038,594,444,6.8,78.6,0.2,5.3,4,0,5.6
Southeast Fairbanks Census Area,AK,6889,3813,3076,5.2,74.9,1.4,11.5,1.9,0,13.9
Valdez-Cordova Census Area,AK,9439,4901,4538,4.8,70.2,0.1,13.3,2.8,0.6,7.4
Wrangell City and Borough,AK,2475,1280,1195,3.2,64.4,0.2,20.6,3.1,0,11.7
Yakutat City and Borough,AK,682,366,316,5.6,43.7,0.9,28.3,5.4,1.3,6.2
Yukon-Koyukuk Census Area,AK,5453,2936,2517,2.1,21.3,0.1,70.4,0.7,0,25.5
Autauga,AL,55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0,13.7
Baldwin,AL,203360,99527,103833,4.4,83.1,9.5,0.8,0.7,0,11.8
Barbour,AL,26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0,27.2
Bibb,AL,22580,12251,10329,2.4,74.6,22,0.4,0,0,15.2
Blount,AL,57667,28490,29177,9,87.4,1.5,0.3,0.1,0,15.6
Bullock,AL,10478,5616,4862,0.3,21.6,75.6,1,0.7,0,28.5
Butler,AL,20126,9416,10710,0.3,52.2,44.7,0.1,1.1,0,24.4
Calhoun,AL,115527,55593,59934,3.6,72.7,20.4,0.2,1,0,18.6
Chambers,AL,33895,16320,17575,2.2,56.2,39.3,0.3,1,0,18.8
Cherokee,AL,25855,12862,12993,1.6,91.8,5,0.5,0.1,0,16.1
