year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,percentile
2016,ALABAMA,AL,AUTAUGA,DONALD TRUMP,REPUBLICAN,18172,24973,0.727665879
2016,ALABAMA,AL,AUTAUGA,HILLARY CLINTON,DEMOCRAT,5936,24973,0.237696712
2020,ALABAMA,AL,AUTAUGA,DONALD J TRUMP,REPUBLICAN,19838,27770,0.714368023
2020,ALABAMA,AL,AUTAUGA,JOSEPH R BIDEN JR,DEMOCRAT,7503,27770,0.270183651
2016,ALABAMA,AL,BALDWIN,DONALD TRUMP,REPUBLICAN,72883,95215,0.765457123
2016,ALABAMA,AL,BALDWIN,HILLARY CLINTON,DEMOCRAT,18458,95215,0.19385601
2020,ALABAMA,AL,BALDWIN,DONALD J TRUMP,REPUBLICAN,83544,109679,0.761713728
2020,ALABAMA,AL,BALDWIN,JOSEPH R BIDEN JR,DEMOCRAT,24578,109679,0.2240903
2016,ALABAMA,AL,BARBOUR,DONALD TRUMP,REPUBLICAN,5454,10469,0.520966663
2016,ALABAMA,AL,BARBOUR,HILLARY CLINTON,DEMOCRAT,4871,10469,0.465278441
2020,ALABAMA,AL,BARBOUR,DONALD J TRUMP,REPUBLICAN,5622,10518,0.534512265
2020,ALABAMA,AL,BARBOUR,JOSEPH R BIDEN JR,DEMOCRAT,4816,10518,0.457881727
2016,ALABAMA,AL,BIBB,DONALD TRUMP,REPUBLICAN,6738,8819,0.764032203
2016,ALABAMA,AL,BIBB,HILLARY CLINTON,DEMOCRAT,1874,8819,0.212495748
2020,ALABAMA,AL,BIBB,DONALD J TRUMP,REPUBLICAN,7525,9595,0.784262637
2020,ALABAMA,AL,BIBB,JOSEPH R BIDEN JR,DEMOCRAT,1986,9595,0.206982804
2016,ALABAMA,AL,BLOUNT,DONALD TRUMP,REPUBLICAN,22859,25588,0.893348445
2016,ALABAMA,AL,BLOUNT,HILLARY CLINTON,DEMOCRAT,2156,25588,0.084258246
2020,ALABAMA,AL,BLOUNT,DONALD J TRUMP,REPUBLICAN,24711,27588,0.895715528
2020,ALABAMA,AL,BLOUNT,JOSEPH R BIDEN JR,DEMOCRAT,2640,27588,0.09569378
2016,ALABAMA,AL,BULLOCK,DONALD TRUMP,REPUBLICAN,1140,4710,0.242038217
2016,ALABAMA,AL,BULLOCK,HILLARY CLINTON,DEMOCRAT,3530,4710,0.749469214
2020,ALABAMA,AL,BULLOCK,DONALD J TRUMP,REPUBLICAN,1146,4613,0.248428355
2020,ALABAMA,AL,BULLOCK,JOSEPH R BIDEN JR,DEMOCRAT,3446,4613,0.747019293
2016,ALABAMA,AL,BUTLER,DONALD TRUMP,REPUBLICAN,4901,8732,0.561268896
2016,ALABAMA,AL,BUTLER,HILLARY CLINTON,DEMOCRAT,3726,8732,0.426706367
2020,ALABAMA,AL,BUTLER,DONALD J TRUMP,REPUBLICAN,5458,9488,0.575252951
2020,ALABAMA,AL,BUTLER,JOSEPH R BIDEN JR,DEMOCRAT,3965,9488,0.41789629
2016,ALABAMA,AL,CALHOUN,DONALD TRUMP,REPUBLICAN,32865,47864,0.68663296
2016,ALABAMA,AL,CALHOUN,HILLARY CLINTON,DEMOCRAT,13242,47864,0.276658867
2020,ALABAMA,AL,CALHOUN,DONALD J TRUMP,REPUBLICAN,35101,50983,0.688484397
2020,ALABAMA,AL,CALHOUN,JOSEPH R BIDEN JR,DEMOCRAT,15216,50983,0.298452425
2016,ALABAMA,AL,CHAMBERS,DONALD TRUMP,REPUBLICAN,7843,13900,0.564244604
2016,ALABAMA,AL,CHAMBERS,HILLARY CLINTON,DEMOCRAT,5784,13900,0.416115108
2020,ALABAMA,AL,CHAMBERS,DONALD J TRUMP,REPUBLICAN,8753,15284,0.572690395
2020,ALABAMA,AL,CHAMBERS,JOSEPH R BIDEN JR,DEMOCRAT,6365,15284,0.416448574
2016,ALABAMA,AL,CHEROKEE,DONALD TRUMP,REPUBLICAN,8953,10733,0.83415634
2016,ALABAMA,AL,CHEROKEE,HILLARY CLINTON,DEMOCRAT,1547,10733,0.144134911
2020,ALABAMA,AL,CHEROKEE,DONALD J TRUMP,REPUBLICAN,10583,12301,0.860336558
2020,ALABAMA,AL,CHEROKEE,JOSEPH R BIDEN JR,DEMOCRAT,1624,12301,0.132021787
2016,ALABAMA,AL,CHILTON,DONALD TRUMP,REPUBLICAN,15081,18369,0.821002776
2016,ALABAMA,AL,CHILTON,HILLARY CLINTON,DEMOCRAT,2911,18369,0.158473515
2020,ALABAMA,AL,CHILTON,DONALD J TRUMP,REPUBLICAN,16085,19310,0.832988089
2020,ALABAMA,AL,CHILTON,JOSEPH R BIDEN JR,DEMOCRAT,3073,19310,0.159140342
